L,N,seed,walk,first_passage_time
7,343,62,1,326
7,343,62,2,6509
7,343,62,3,7604
7,343,62,4,1370
7,343,62,5,7971
7,343,62,6,4963
7,343,62,7,2719
7,343,62,8,5036
7,343,62,9,6935
7,343,62,10,5133
7,343,62,11,30613
7,343,62,12,10182
7,343,62,13,1020
7,343,62,14,3006
7,343,62,15,3558
7,343,62,16,730
7,343,62,17,2569
7,343,62,18,11175
7,343,62,19,1584
7,343,62,20,898
7,343,62,21,4963
7,343,62,22,2907
7,343,62,23,7168
7,343,62,24,6840
7,343,62,25,815
7,343,62,26,5343
7,343,62,27,1663
7,343,62,28,1296
7,343,62,29,13442
7,343,62,30,1054
7,343,62,31,1601
7,343,62,32,2252
7,343,62,33,7852
7,343,62,34,3998
7,343,62,35,2392
7,343,62,36,1037
7,343,62,37,9195
7,343,62,38,606
7,343,62,39,7192
7,343,62,40,514
7,343,62,41,240
7,343,62,42,5036
7,343,62,43,2452
7,343,62,44,3145
7,343,62,45,5940
7,343,62,46,5408
7,343,62,47,3002
7,343,62,48,1050
7,343,62,49,883
7,343,63,0,1086
7,343,63,1,3801
7,343,63,2,2617
7,343,63,3,6772
7,343,63,4,4613
7,343,63,5,3846
7,343,63,6,2171
7,343,63,7,1688
7,343,63,8,2850
7,343,63,9,1243
7,343,63,10,3219
7,343,63,11,3453
7,343,63,12,6494
7,343,63,13,7242
7,343,63,14,19657
7,343,63,15,6695
7,343,63,16,11695
7,343,63,17,1362
7,343,63,18,2688
7,343,63,19,10423
7,343,63,20,1926
7,343,63,21,2990
7,343,63,22,3273
7,343,63,23,2725
7,343,63,24,3542
7,343,63,25,10603
7,343,63,26,3281
7,343,63,27,3625
7,343,63,28,12731
7,343,63,29,1690
7,343,63,30,1306
7,343,63,31,10423
7,343,63,32,579
7,343,63,33,1883
7,343,63,34,1079
7,343,63,35,13254
7,343,63,36,2018
7,343,63,37,686
7,343,63,38,5287
7,343,63,39,1761
7,343,63,40,5490
7,343,63,41,1151
7,343,63,42,2043
7,343,63,43,7000
7,343,63,44,550
7,343,63,45,1005
7,343,63,46,2820
7,343,63,47,3234
7,343,63,48,3131
7,343,63,49,3616
7,343,64,0,3466
7,343,64,1,5043
7,343,64,2,3137
7,343,64,3,1108
7,343,64,4,6023
7,343,64,5,7907
7,343,64,6,1512
7,343,64,7,1730
7,343,64,8,10065
7,343,64,9,561
