time,weak_pulse,strong_pulse
0.19054763690922732,-0.5778911750154404,-1.2713620788642208
0.19104776194048514,-0.5864813493024195,-1.290260461626779
0.19154788697174296,-0.595143625306056,-1.3093174681313615
0.19204801200300076,-0.6038780234362898,-1.3285331432799916
0.19254813703425858,-0.6126845601071464,-1.347907523183682
0.1930482620655164,-0.6215632477438211,-1.3674406351780186
0.19354838709677422,-0.6305140947898743,-1.3871324978389916
0.19404851212803204,-0.6395371057145398,-1.4069831209990724
0.19454863715928986,-0.6486322810201444,-1.426992505763537
0.19504876219054765,-0.6577996172496382,-1.4471606445270335
0.19554888722180547,-0.6670391069942356,-1.467487520990391
0.1960490122530633,-0.6763507389011664,-1.487973110177673
0.1965491372843211,-0.6857344976815357,-1.508617378453469
0.19704926231557893,-0.6951903641182938,-1.529420283540428
0.19754938734683672,-0.7047183150743133,-1.5503817745370279
0.19804951237809454,-0.7143183235005743,-1.5715017919355843
0.19854963740935236,-0.7239903584444579,-1.5927802676404936
0.19904976244061018,-0.7337343850581448,-1.614217124986713
0.199549887471868,-0.7435503646071213,-1.6358122787584712
0.2000500125031258,-0.7534382544787906,-1.657565635208215
0.2005501375343836,-0.7633980081911894,-1.679477092075784
0.20105026256564143,-0.7734295754018085,-1.701546538607818
0.20155038759689925,-0.7835329019165183,-1.7237738555773916
0.20205051262815707,-0.7937079296985972,-1.7461589153038772
0.20255063765941486,-0.8039545968778631,-1.7687015816730347
0.20305076269067268,-0.8142728377599077,-1.7914017101573252
0.2035508877219305,-0.8246625828354317,-1.8142591478364514
0.20405101275318832,-0.8351237587896826,-1.8372737334181177
0.20455113778444614,-0.845656288511992,-1.860445297259015
0.20505126281570396,-0.8562600911054145,-1.8837736613860236
0.20555138784696175,-0.8669350818964644,-1.9072586395176365
0.20605151287821957,-0.8776811724449538,-1.9309000370856007
0.2065516379094774,-0.8884982705539273,-1.9546976512567753
0.2070517629407352,-0.8993862802796955,-1.978651270955205
0.20755188797199303,-0.9103451019419662,-2.0027606768844084
0.20805201300325082,-0.9213746321340718,-2.027025641549878
0.20855213803450864,-0.9324747637332939,-2.051445929281795
0.20905226306576646,-0.9436453859112827,-2.076021296257951
0.20955238809702428,-0.9548863841445724,-2.100751490526883
0.2100525131282821,-0.9661976402251908,-2.1256362520312138
0.2105526381595399,-0.9775790322713634,-2.1506753126312015
0.21105276319079772,-0.9890304347383104,-2.1758683961284917
0.21155288822205554,-1.0005517184291373,-2.2012152182900784
0.21205301325331335,-1.0121427505058171,-2.226715486872465
0.21255313828457117,-1.0238033945002656,-2.252368901646028
0.21305326331582897,-1.0355335103255068,-2.2781751544195834
0.2135533883470868,-1.0473329542869292,-2.3041339290651472
0.2140535133783446,-1.0592015790936335,-2.330244901542903
0.21455363840960243,-1.071139233869867,-2.356507739926357
0.21505376344086025,-1.0831457641665507,-2.3829221044276974
0.21555388847211807,-1.0952210119728913,-2.409487647423341
0.21605401350337586,-1.1073648157280838,-2.4362040134796796
0.21655413853463368,-1.1195770103330993,-2.4630708393790126
0.2170542635658915,-1.1318574271625614,-2.4900877541456734
0.21755438859714932,-1.1442058940767073,-2.5172543790723454
0.21805451362840714,-1.1566222354334346,-2.5445703277465666
0.21855463865966493,-1.169106272100434,-2.572035206077418
0.21905476369092275,-1.1816578214674052,-2.599648612322401
0.21955488872218057,-1.194276697458358,-2.627410137114501
0.2200550137534384,-1.2069627105439955,-2.655319363489427
0.2205551387846962,-1.2197156677541803,-2.6833758669130376
0.221055263815954,-1.2325353726904824,-2.711579215308951
0.22155538884721182,-1.2454216255388109,-2.739928969086328
0.22205551387846964,-1.2583742230821227,-2.768424681167837
0.22255563890972746,-1.2713929587132153,-2.797065897017794
0.22305576394098528,-1.2844776224475976,-2.825852154670481
0.22355588897224307,-1.297628000936439,-2.854782984758634
0.2240560140035009,-1.3108438774795994,-2.8838579105421056
