t,g
3.4168336673346698,2.3477867756432973
3.436873747494989,2.3478928424777776
3.4569138276553097,2.3479988677221293
3.4769539078156306,2.3481048513475815
3.4969939879759515,2.3482107933130343
3.5170340681362724,2.3483166935851845
3.5370741482965933,2.3484225521355095
3.557114228456914,2.348528368935549
3.5771543086172333,2.3486341439569074
3.597194388777554,2.348739877171253
3.617234468937875,2.3488455685503173
3.637274549098196,2.348951218065897
3.657314629258517,2.349056825689851
3.6773547094188377,2.349162391394104
3.6973947895791586,2.349267915150643
3.7174348697394795,2.349373396931519
3.7374749498997986,2.3494788367088484
3.7575150300601194,2.34958423445481
3.7775551102204403,2.349689590141647
3.797595190380761,2.3497949037416657
3.817635270541082,2.349900175227238
3.837675350701403,2.350005404570798
3.857715430861724,2.350110591744845
3.877755511022043,2.3502157367219416
3.897795591182364,2.3503208394747137
3.9178356713426847,2.3504258999758525
3.9378757515030056,2.3505309181981113
3.9579158316633265,2.350635894114309
3.9779559118236474,2.350740827697327
3.9979959919839683,2.3508457189201124
4.018036072144287,2.3509505677556737
4.038076152304608,2.3510553741770854
4.058116232464929,2.351160138157485
4.07815631262525,2.351264859670074
4.098196392785571,2.3513695386881173
4.118236472945892,2.351474175184945
4.138276553106213,2.35157876913395
4.158316633266534,2.3516833205085885
4.178356713426853,2.3517878292823826
4.1983967935871735,2.351892295428917
4.218436873747494,2.35199671892184
4.238476953907815,2.352101099734864
4.258517034068136,2.3522054378417665
4.278557114228457,2.352309733216387
4.298597194388778,2.3524139858326305
4.318637274549097,2.3525181956644645
4.338677354709418,2.3526223626859215
4.358717434869739,2.3527264868710973
4.37875751503006,2.352830568194152
4.398797595190381,2.352934606629309
4.4188376753507015,2.3530386021508565
4.438877755511022,2.3531425547331453
4.4589178356713415,2.3532464643505913
4.478957915831662,2.3533503309776735
4.498997995991983,2.3534541545889356
4.519038076152304,2.353557935158984
4.539078156312625,2.3536616726624904
4.559118236472946,2.3537653670741894
4.579158316633267,2.3538690183688797
4.599198396793588,2.353972626521424
4.619238476953907,2.3540761915067487
4.639278557114228,2.3541797132998443
4.6593186372745485,2.354283191875765
4.679358717434869,2.35438662720963
4.69939879759519,2.35449001927662
4.719438877755511,2.354593368051982
4.739478957915832,2.3546966735110253
4.759519038076151,2.3547999356291243
4.779559118236472,2.354903154381716
4.799599198396793,2.355006329744302
4.819639278557114,2.3551094616924484
4.839679358717435,2.355212550201784
4.859719438877756,2.355315595248002
4.8797595190380765,2.35541859680686
4.899799599198396,2.3555215548541786
4.9198396793587165,2.3556244693658432
4.939879759519037,2.355727340317802
4.959919839679358,2.355830167686068
4.979959919839679,2.355932951446717
5.0,2.3560356915758907
