time_s,delta_signal,theta_signal,alpha_signal,beta_signal,gamma_signal
1.726,-0.234668417534839,0.40823831595884125,-0.20121564523704683,0.41276292363077216,0.15392608692499204
1.727,0.07958220742822675,0.5072620019439442,-0.40397549010335576,0.512590228910727,-0.09784790342330295
1.728,-0.04221571316111382,0.5129349372785241,-0.3558189879932431,0.41217023688101084,-0.23652438934101908
1.729,0.13592262150420428,0.28533493192855636,-0.22485934580350178,0.7621072689347848,-0.4452131629550572
1.73,-0.0819420576649118,0.5022181682743139,-0.45088169060154965,0.5823216907849073,-0.6230475780109741
1.731,0.12358075972022058,0.6446071933485125,-0.5153618445162009,0.5219662187902941,-0.5658311566549605
1.732,0.05716017201130997,0.5211269232228604,-0.46968381858561165,0.4987912931405597,-0.3628612367432308
1.733,0.19144863291979666,0.47604127024870924,-0.5874500933740495,0.7832450348345394,-0.15912263773422008
1.734,0.00575916804563652,0.39719199374160374,-0.4243646623830275,0.5771335022294164,0.0614003747167936
1.735,-0.05248495304014317,0.584319613497898,-0.5594534647878728,0.43619392408091584,0.2692763816662407
1.736,0.07259851067180795,0.11875861348895539,-0.5924283520183602,0.35720481857935843,-0.03102315162526187
1.737,-0.05648758000010176,0.27898003446549885,-0.48520751046386507,0.5234827293652062,0.4645525864319819
1.738,0.14923276011731434,0.36058107014595087,-0.41815666610588337,0.48017402532855297,0.5591885686867617
1.739,0.05375273756752998,0.40681356998223034,-0.5079423255485939,0.1291898685991602,0.29672911381820954
1.74,0.14814680667866004,0.395744592581221,-0.511244866015883,0.19147877153684623,0.17022706636854593
1.741,0.17534966814908365,0.4355071993826221,-0.43952736946382615,0.19890089541988448,-0.11742308814327312
1.742,-0.011378408540365714,0.5374694372268143,-0.4962799579373754,0.030844119242999922,-0.09838896676813413
1.743,-0.11230628381068151,0.49185682153625404,-0.5274716861406278,0.04916145184785192,0.04452298134951986
1.744,0.01764354227905645,0.47682102328255793,-0.44071017269321866,-0.12274099898466886,0.005022574717517506
1.745,-0.06366890842878556,0.5847873900642266,-0.4829063935886043,0.012758220264948522,-0.08848838385176876
1.746,-0.0986050611547157,0.21270223549598272,-0.5659731928616305,-0.237211862854878,-0.38413807354265406
1.747,-0.04081869964108794,0.15302743130116275,-0.41541895900158327,-0.22850551906873506,-0.2569875753645628
1.748,0.0014755382665369403,0.37361539484842876,-0.4028835507337493,-0.21102250197883954,-0.2091512712100775
1.749,-0.049225608291298635,0.11525497148228225,-0.29583661583129217,-0.3056712652308321,-0.4192122762210589
1.75,-0.045688399627461795,0.11060874322252598,-0.49651497251958826,-0.15672998186813014,-0.5722693491124116
1.751,-0.1684684020847204,0.20024646176800145,-0.5678860511943095,-0.22891308238857283,-0.3928406362313728
1.752,-0.15983414350210468,0.25642959468662135,-0.21565981191455852,-0.3876638668377259,-0.3958261815721176
1.753,0.12886407277583187,0.3257707873192936,-0.4934686976317543,-0.17323437643375622,-0.24442770704938516
1.754,0.06145296078102891,0.09033669241632916,-0.3900072050964729,-0.3794100997924453,0.015955321265784805
1.755,-0.007528900650563448,0.2350574116661371,-0.10408035019836381,-0.22261983578160457,0.4211997575542942
1.756,-0.03285797937445215,0.2518312246083207,-0.26215574399861213,-0.1739255910852392,0.4870886555050403
1.757,0.027068471404882933,0.16315468385367402,-0.3403194200003238,-0.23762828750271459,1.04553318653262
1.758,-0.04811797032578918,0.04542107345097744,-0.1753542802308974,-0.2079166425357549,0.9106860205901786
1.759,-0.23064351050340473,0.0447070849050811,-0.2836880966623054,-0.13729884071903223,0.7091539583183506
1.76,-0.21454239277473627,0.06055614918009302,-0.18242321676342743,-0.2022204912808576,0.4613174989536261
1.761,0.0254181181477938,0.20851027121697968,-0.21406259719622522,-0.10658424671097218,0.16769997542036538
1.762,0.15923287676527556,-0.10988620405074218,-0.2190389022932844,-0.15896989980579934,-0.1452609299710449
1.763,-0.009127237566193491,0.050436161544957434,-0.03259758821777785,-0.04382145995633202,-0.373070632722365
1.764,-0.017879523869875884,-0.038369453065892026,-0.0281841889901171,-0.15990113248347687,-0.8300349920546316
1.765,-0.03657064599817894,-0.0344131430267898,-0.121174791986906,-0.1750387795117661,-0.9720354627266028
1.766,-0.18851397638975784,-0.05106487020139208,0.03376625444253766,-0.1703056467087501,-0.9346940338272063
1.767,-0.041802925543455924,-0.08963799669490491,0.01952709933333325,-0.1517805145438163,-0.554696923485442
1.768,0.04933668534837719,-0.1963558921079479,0.040179392134902917,-0.055845864975721644,-0.31316804809375465
1.769,-0.12880752602774898,-0.04341633275164467,0.03992246833072746,-0.1607221275542205,-0.00773001920272276
1.77,-0.16532012139170435,-0.05998419092659585,0.2810104565272291,-0.10742453585665294,0.10903126274926006
1.771,0.040569986590102594,0.1785044771636602,0.31690354544689464,-0.1913389580963629,0.22638628008617445
1.772,0.06501641836206913,-0.26089349523867833,0.3381888857943197,-0.13514949918754066,0.29816524428394797
1.773,-0.0714701927328196,0.02590656489182866,0.3933367025345652,-0.069968687140373,0.41257920331262443
1.774,0.041958462963456664,-0.05886591872334752,0.2349827135548505,-0.030003593401886332,0.5169524464482201
